	Seminat_Rho	Contr_Rho	Seminat_Vanzago	Contr_Vanzago	Seminat_Foppa	Contr_Foppa	Seminat_Aironi	Contr_Aironi	Seminat_Azzurro	Contr_Azzurro	Seminat_Lura	Contr_Lura	FWS_Merone	Contr_Merone	FWS_Capiago	Contr_Capiago	FWS_Carimate	Contr_Carimate	FWS_VillaG	Contr_VillaG	FWS_Mozzate	Contr_Mozzate	FWS_Gorla	Contr_Gorla	FWS_Limido	Contr_Limido	FWS_Pianbosco	Contr_Pianbosco	FWS_Castelnuovo	Contr_Castelnuovo
Egretta_garzetta	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emberiza_schoeniclus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Erithacus_rubecula	0	1	1	1	2	0	3	1	4	5	0	6	5	6	3	5	5	3	1	3	0	0	2	3	4	4	3	7	8	5
Ficedula_hypoleuca	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Fringilla_coelebs	3	3	3	4	2	2	0	3	4	2	3	3	2	6	3	5	2	1	2	5	0	2	4	5	4	3	3	10	3	3
Fulica_atra	0	0	3	0	5	0	1	0	0	0	8	0	0	0	0	0	4	1	0	0	13	0	2	0	7	0	0	0	0	0
Gallinula_chloropus	4	2	2	0	29	3	1	0	3	0	12	0	0	0	1	0	6	4	1	0	9	0	7	1	5	0	1	0	1	0
Garrulus_glandarius	0	0	0	3	0	0	0	1	1	1	0	2	1	2	1	2	1	3	2	1	0	0	0	1	1	4	1	2	2	0
Hirundo_rustica	10	1	0	0	0	2	0	0	0	0	5	0	2	0	0	0	0	0	0	0	12	6	0	0	10	0	0	0	0	0
Lanius_collurio	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Larus_michahellis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Linaria_cannabina	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luscinia_megarhynchos	1	1	1	1	1	1	3	2	0	1	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0
Mergus_merganser	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merops_apiaster	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Motacilla_alba	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0
Motacilla_cinerea	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
Netta_rufina	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nycticorax_nycticorax	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oenanthe_oenanthe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Oriolus_oriolus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parus_major	5	4	7	3	9	3	5	6	6	2	6	6	5	7	3	5	3	3	7	5	4	2	3	6	3	4	7	9	6	5
Passer_montanus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Phalacrocorax_carbo	1	0	0	0	1	1	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Phylloscopus_bonelli	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phylloscopus_collybita	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	2	0	1
Phylloscopus_sibilatrix	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Phylloscopus_trochilus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Phasianus_colchicus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoenicurus_ochruros	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0
Phoenicurus_phoenicurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Periparus_ater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0
Pica_pica	2	3	1	1	4	4	0	1	0	0	1	4	1	0	2	0	3	1	7	3	2	1	3	1	0	1	0	0	0	0
Picus_viridis	3	1	1	2	1	1	2	2	2	2	2	2	3	2	2	0	2	1	2	1	1	1	1	2	2	3	2	1	2	2
Podiceps_cristatus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poecile_palustris	0	0	0	5	0	0	1	1	3	2	1	3	3	3	1	1	1	1	5	1	1	0	1	3	1	2	4	3	3	0
Psittacula_krameri	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regulus_ignicapilla	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	3	0	1	0
Regulus_regulus	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saxicola_rubicola	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Serinus_serinus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sitta_europaea	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	3	2	4	1	2
Spatula_clypeata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Spinus_spinus	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Streptopelia_decaocto	1	0	0	0	5	3	0	0	0	0	0	2	0	0	2	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0
Sturnus_vulgaris	2	0	0	0	8	5	8	1	0	0	11	1	0	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0
Sylvia_atricapilla	2	3	4	2	4	4	9	2	5	6	3	7	8	6	8	5	2	3	6	3	4	3	5	7	4	3	3	5	2	2
Tachybaptus_ruficollis	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	7	0	3	0	3	0	0	0	0	0
Troglodytes_troglodytes	0	0	0	0	0	0	0	0	3	4	0	1	4	3	2	2	0	0	0	0	0	0	2	4	2	0	0	2	3	3
Turdus_merula	4	8	4	1	8	10	0	1	0	8	1	0	5	6	4	0	1	0	4	11	0	1	7	4	2	0	2	0	1	0
Upupa_epops	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
